state,district_code,district_name,population_total,population_rural,population_urban,decadal_growth_total,decadal_growth_rural,decadal_growth_urban,density_2011,sex_ratio_total_2011,sex_ratio_rural_2011,sex_ratio_urban_2011,child_sex_ratio_total_2011,child_sex_ratio_rural_2011,child_sex_ratio_urban_2011,sc_percentage_total_2011,st_percentage_total_2011,literacy_rate_total,literacy_rate_rural,literacy_rate_urban,wpr_total,wpr_rural,wpr_urban,cultivators_percentage,agricultural_labourers_percentage,household_industry_percentage,other_workers_percentage
Odisha,383,Dhenkanal,162056,156671,5385,18.7,19.2,5.8,268,,,,926.0,877.0,883.0,18.8,13.5,69.4,68.0,84.1,33.4,33.9,28.8,25.8,34.3,3.9,36.0
Odisha,389,Gajapati,313714,308867,4847,19.1,17.9,208.7,134,,,,967.0,967.0,908.0,6.5,56.2,41.3,37.6,71.1,53.1,55.2,34.4,32.7,45.2,2.1,20.0
Odisha,388,Ganjam,118928,112338,6590,30.8,28.7,82.6,430,,,,943.0,908.0,913.0,19.9,3.4,60.8,56.5,79.7,41.3,43.8,29.9,24.7,38.6,3.8,32.9
Odisha,380,Jagatsinghapur,7862,4524,3338,-9.0,-13.2,-2.6,682,,,,928.0,929.0,899.0,22.2,0.5,79.1,78.7,82.2,31.2,30.9,34.4,29.3,25.3,3.4,42.0
Odisha,382,Jajapur,151432,139209,12223,20.2,14.8,156.4,630,,,,937.0,926.0,930.0,23.3,7.8,71.4,71.0,81.7,27.5,27.5,27.5,25.8,30.2,3.1,40.8
Odisha,371,Jharsuguda,176758,140117,36641,8.8,5.8,22.2,274,,,,961.0,943.0,921.0,18.1,40.3,70.6,66.6,77.5,37.3,42.1,28.9,22.2,24.5,8.0,45.3
Odisha,395,Kalahandi,449456,440775,8681,17.5,17.3,28.1,199,,,,985.0,957.0,922.0,17.7,30.4,45.9,43.5,74.4,46.5,47.7,31.1,29.6,50.3,2.9,17.2
Odisha,390,Kandhamal,392820,380602,12218,16.6,15.1,94.8,91,,,,974.0,962.0,899.0,16.6,54.7,52.7,50.1,85.4,47.2,48.5,29.4,33.4,36.1,7.2,23.4
Odisha,379,Kendrapara,9484,8862,622,39.0,46.6,-20.1,545,,,,942.0,926.0,897.0,20.6,0.5,76.8,76.5,82.6,29.8,30.0,27.5,42.0,25.5,2.4,30.1
Odisha,375,Kendujhar,818878,759937,58941,17.8,17.8,17.5,217,,,,962.0,967.0,939.0,11.3,47.8,59.2,56.9,73.7,39.8,41.3,30.3,33.0,36.4,4.5,26.2
Odisha,386,Khordha,115051,67798,47253,18.4,4.4,46.5,800,,,,931.0,916.0,906.0,16.7,6.1,79.6,74.1,86.7,30.6,29.3,32.4,13.8,16.4,2.9,66.9
Odisha,398,Koraput,697583,662719,34864,19.1,19.5,11.5,157,,,,987.0,979.0,944.0,12.9,56.5,35.7,27.3,74.9,48.3,51.5,32.5,32.4,40.2,2.0,25.3
Odisha,399,Malkangiri,354614,346465,8149,22.5,21.8,57.7,106,,,,982.0,992.0,947.0,21.0,60.6,30.5,27.9,65.3,49.1,50.3,33.4,57.3,25.9,2.5,14.2
Odisha,376,Mayurbhanj,1479576,1439002,40574,17.6,16.9,45.6,242,,,,956.0,960.0,905.0,7.5,59.5,51.9,49.5,82.6,46.2,47.4,30.7,28.0,38.4,14.5,19.2
Odisha,397,Nabarangapur,681173,668056,13117,20.7,19.6,116.7,231,,,,1000.0,998.0,971.0,13.6,57.8,33.9,31.3,73.7,49.5,50.5,32.7,30.8,52.3,2.2,14.7
Odisha,385,Nayagarh,58691,57531,1160,15.5,14.2,151.6,248,,,,905.0,855.0,835.0,13.8,6.1,70.5,69.8,85.6,33.3,33.5,28.3,29.8,32.7,7.2,30.3
Odisha,394,Nuapada,206327,204121,2206,12.0,12.2,-2.6,158,,,,969.0,981.0,939.0,13.3,36.3,42.0,40.3,70.4,46.0,46.7,34.5,34.1,46.3,2.9,16.7
Odisha,387,Puri,6129,4379,1750,36.7,7.8,316.7,488,,,,932.0,932.0,926.0,19.6,0.3,78.0,77.3,81.9,30.0,30.0,30.2,35.1,25.0,3.1,36.8
Odisha,396,Rayagada,541905,522208,19697,16.9,16.2,40.7,137,,,,984.0,965.0,950.0,13.9,62.8,36.1,29.9,72.2,48.0,50.6,31.9,29.1,46.1,1.9,22.9
Odisha,372,Sambalpur,355261,318413,36848,11.0,9.5,26.0,157,,,,967.0,940.0,903.0,17.6,43.0,67.3,62.8,79.0,45.0,50.1,31.3,21.7,31.8,13.8,32.7
Odisha,392,Subarnapur,57192,55256,1936,8.0,7.5,23.9,261,,,,968.0,952.0,934.0,23.5,10.2,62.8,61.7,77.3,43.7,44.6,33.0,32.7,44.6,6.8,15.9
Odisha,374,Sundargarh,1062349,908475,153874,15.6,13.9,27.1,216,,,,982.0,946.0,903.0,8.6,66.4,64.9,55.3,82.5,40.4,46.6,28.4,29.6,29.8,2.3,38.3
